"amostra";"largura";"altura";"temperatura"
"Amostra 10813";96.03;47.62;-9.48
"Amostra 10814";24.27;192.98;-18.95
"Amostra 10815";194.78;144.29;-6.71
"Amostra 10816";63.27;121.27;18.36
"Amostra 10817";86.57;44.46;-2.95
"Amostra 10818";11.6;108.07;-16.15
"Amostra 10819";128.18;82.28;3.52
"Amostra 10820";13.37;17.71;1.47
"Amostra 10821";50.99;141.44;-9.57
"Amostra 10822";93.7;23.64;-17.12
"Amostra 10823";51.74;89.3;-0.41
"Amostra 10824";12.85;92.83;3.03
"Amostra 10825";128.01;18.12;3.03
"Amostra 10826";67.89;33.2;5.32
"Amostra 10827";151.03;154.01;-8.27
"Amostra 10828";134.43;23.36;7.52
"Amostra 10829";42.65;233.48;-12.05
"Amostra 10830";35.55;56.64;6.32
"Amostra 10831";21.42;103.77;-16.92
"Amostra 10832";150.51;160.79;2.06
"Amostra 10833";185.88;50.32;-7.11
"Amostra 10834";66.54;23.17;-4.11
"Amostra 10835";49.2;17.11;-18.47
"Amostra 10836";6.88;120.89;-2.53
"Amostra 10837";71.04;3.6;30.62
"Amostra 10838";45.27;8.29;5.35
"Amostra 10839";36.13;93.9;7.87
"Amostra 10840";47.15;122.36;-4.9
"Amostra 10841";125.05;49.37;7.05
"Amostra 10842";186.31;162.07;-9.46
"Amostra 10843";258.66;82.43;5.25
"Amostra 10844";24.28;1.02;4.07
"Amostra 10845";44.75;91.69;1.61
"Amostra 10846";8.87;66.9;4.55
"Amostra 10847";48.15;19.48;8.87
"Amostra 10848";75.21;26.22;-2.21
"Amostra 10849";131.05;113.87;-2.33
"Amostra 10850";16.71;67.56;-18.8
"Amostra 10851";40.24;2.43;-13.25
"Amostra 10852";118.5;112.12;-1.4
"Amostra 10853";144.36;54.67;3.13
"Amostra 10854";74.88;54;15.53
"Amostra 10855";30.39;6.01;-0.32
"Amostra 10856";60.09;98.52;1.62
"Amostra 10857";22.19;7.04;-1.68
"Amostra 10858";14.79;28.43;14.82
"Amostra 10859";20.4;216.66;-16.93
"Amostra 10860";4.28;102.77;-3.46
"Amostra 10861";48.71;38.28;-6.83
"Amostra 10862";65.08;2.21;4.6
"Amostra 10863";20.28;161.64;-3.63
"Amostra 10864";82.33;79.35;-3.32
"Amostra 10865";199.03;250.19;-0.37
"Amostra 10866";104.45;151.95;-1.36
"Amostra 10867";2.77;80.01;-1.33
"Amostra 10868";34.6;45.4;11.26
"Amostra 10869";33.94;99.86;2.8
"Amostra 10870";116.57;50.31;0.89
"Amostra 10871";19.49;158.2;9.53
"Amostra 10872";114.76;119.49;0.18
"Amostra 10873";156.67;41.3;-16.96
"Amostra 10874";104.22;93.57;3.39
"Amostra 10875";57.58;19.64;12.03
"Amostra 10876";181.13;180.82;-10.91
"Amostra 10877";4.06;247.13;17.16
"Amostra 10878";40.74;99.14;-11.14
"Amostra 10879";102.24;61.31;7.92
"Amostra 10880";19.05;58.66;14.59
"Amostra 10881";16.28;2.81;2.64
"Amostra 10882";70.37;298.1;-6.99
"Amostra 10883";226.98;0.02;35.99
"Amostra 10884";4.49;176.52;-6.52
"Amostra 10885";37.93;71.88;2.86
"Amostra 10886";41.24;35.49;0.62
"Amostra 10887";155.51;6.38;-1.54
"Amostra 10888";103.07;197.8;13.8
"Amostra 10889";57.12;33.34;10.75
"Amostra 10890";31.45;195.64;12.81
"Amostra 10891";192.64;78.42;-16.9
"Amostra 10892";71.52;35.83;7.1
"Amostra 10893";44.81;117.21;2.49
"Amostra 10894";254.35;23.46;-3.71
"Amostra 10895";35.18;33.31;21.55
"Amostra 10896";229.16;160.79;-5.97
"Amostra 10897";81.05;17.28;11.09
"Amostra 10898";32.65;122.59;-9.63
"Amostra 10899";57.27;37.57;5.64
"Amostra 10900";77.13;104.35;-12.76
"Amostra 10901";14.6;259.08;15.56
"Amostra 10902";86.25;7.03;5.83
"Amostra 10903";84.35;152.32;10.21
"Amostra 10904";144.69;9.27;-9.8
"Amostra 10905";170.84;162.46;-17.2
"Amostra 10906";98.93;27.65;-6.97
"Amostra 10907";136.25;130.03;-4.12
"Amostra 10908";95.8;8.99;4.3
"Amostra 10909";149.82;9.31;-6.99
"Amostra 10910";55.08;89.92;8.64
"Amostra 10911";189.33;27.76;0.57
"Amostra 10912";45.98;20.94;2.56
"Amostra 10913";8.34;27.62;-1.97
"Amostra 10914";18.7;166.71;5.47
"Amostra 10915";179.77;110.84;6.77
"Amostra 10916";39.16;40.62;5.41
"Amostra 10917";48.85;69.9;-16.81
"Amostra 10918";70.66;64.73;-7.56
"Amostra 10919";72.67;39.7;16.73
"Amostra 10920";50.8;8.48;7.57
"Amostra 10921";55.2;103.76;-0.73
"Amostra 10922";64.1;134.43;-2.16
"Amostra 10923";53.73;30.64;-0.61
"Amostra 10924";79.51;16.93;1.02
"Amostra 10925";66.16;188.65;-15.5
"Amostra 10926";80.98;44.93;-9.49
"Amostra 10927";79;4.34;4.02
"Amostra 10928";210.94;20.08;18.67
"Amostra 10929";7.93;215.61;-4.97
"Amostra 10930";80.99;140.07;0.37
"Amostra 10931";91.74;34.49;-18.86
"Amostra 10932";9.26;86.3;-12.03
"Amostra 10933";140.38;32.5;5.15
"Amostra 10934";42.77;75.84;0.8
"Amostra 10935";103.72;203.29;7.98
"Amostra 10936";6.06;49.61;-6.31
"Amostra 10937";208.21;114.06;0.06
"Amostra 10938";37.11;53.99;2.92
"Amostra 10939";10.21;100.65;12.64
"Amostra 10940";30.83;105.69;16.45
"Amostra 10941";125.75;225.95;-2.45
"Amostra 10942";153.92;306.56;15.37
"Amostra 10943";10.39;87.37;-16.21
"Amostra 10944";14.39;107.4;-1.66
"Amostra 10945";198.58;13.81;-25.9
"Amostra 10946";223.22;89.37;0.11
"Amostra 10947";61.02;26.97;-20.36
"Amostra 10948";59;42.35;18.95
"Amostra 10949";141.66;118.6;-8.89
"Amostra 10950";35.33;63.86;10.2
"Amostra 10951";64.04;23.07;1.33
"Amostra 10952";57.09;138.2;-4.71
"Amostra 10953";101.97;25.4;-1.71
"Amostra 10954";53.61;141.75;14.07
"Amostra 10955";61.5;33.62;-10.54
"Amostra 10956";10.63;230.56;-8.84
"Amostra 10957";23.66;165.88;8.84
"Amostra 10958";345.17;147.03;-0.57
"Amostra 10959";127.37;91.11;-7.79
"Amostra 10960";35.12;18.15;-14.31
"Amostra 10961";28.74;38.75;-13.24
"Amostra 10962";131.98;115.1;14.4
"Amostra 10963";119.43;48.83;7.3
"Amostra 10964";127.32;35.2;14.19
"Amostra 10965";47.14;90.16;-1.73
"Amostra 10966";92.92;101.55;-3.51
"Amostra 10967";34.8;25.8;3.91
"Amostra 10968";21.47;129.26;-0.13
"Amostra 10969";56.85;3.86;-14.75
"Amostra 10970";132.35;129.27;-15.81
"Amostra 10971";9.02;55.52;9.24
"Amostra 10972";89.34;36.54;7.79
"Amostra 10973";44.36;6.29;-6.44
"Amostra 10974";18.19;77.18;15.22
"Amostra 10975";62.27;100.44;4.95
"Amostra 10976";7.06;36.36;4.28
"Amostra 10977";49.81;68.27;18.77
"Amostra 10978";139.2;131.82;12.49
"Amostra 10979";181.94;70.57;4.95
"Amostra 10980";18.72;34.19;-9.76
"Amostra 10981";28.22;135.82;6.24
"Amostra 10982";35.69;43.1;-7.86
"Amostra 10983";72.62;78.36;1.87
"Amostra 10984";179.59;29.88;-15.47
"Amostra 10985";206.41;185.25;-9.11
"Amostra 10986";96.53;82.56;4.82
"Amostra 10987";23.37;23.19;12.62
"Amostra 10988";17.63;10.31;19.3
"Amostra 10989";48.31;27.44;-3.74
"Amostra 10990";93.26;2.21;-8.6
"Amostra 10991";146.42;90.67;8.14
"Amostra 10992";232.29;11.39;2.35
"Amostra 10993";66.86;94.36;5.51
"Amostra 10994";19.65;11.66;3.58
"Amostra 10995";138.65;76.72;9.59
"Amostra 10996";22.42;220.48;4.82
"Amostra 10997";45.79;88.68;-6.88
"Amostra 10998";30.24;272.3;8.24
"Amostra 10999";36.38;23.84;-3.88
"Amostra 11000";3.95;6.92;-1.92
"Amostra 11001";23.7;57.55;2.52
"Amostra 11002";21.99;23.64;-3.24
"Amostra 11003";213.82;75.93;8.27
"Amostra 11004";41.52;136.96;-5.06
"Amostra 11005";3.74;0.72;-11.62
"Amostra 11006";34.83;69.64;-2.02
"Amostra 11007";88.15;183.22;10.53
"Amostra 11008";12.56;156.21;-8.49
"Amostra 11009";3.55;16.6;-2.76
"Amostra 11010";37.61;1.01;-9.3
"Amostra 11011";1.89;60.89;-3.13
"Amostra 11012";37.88;82.79;3.89
"Amostra 11013";39.36;27.82;-10.7
"Amostra 11014";85.85;113.04;-8.56
"Amostra 11015";1.78;0.63;-5.84
"Amostra 11016";147.12;29.36;-2.09
"Amostra 11017";174.8;14.55;-7.02
"Amostra 11018";41.67;41.78;5.82
"Amostra 11019";5.01;32.44;5.54
"Amostra 11020";4.18;8.52;-8.42
"Amostra 11021";92.72;40.76;-4.58
"Amostra 11022";86.86;99.72;-6.66
"Amostra 11023";20.58;62.17;2.5
"Amostra 11024";12.78;89.86;12.1
"Amostra 11025";41.35;69.21;-1.25
"Amostra 11026";27.51;28.84;24.76
"Amostra 11027";296.23;13.47;4.7
"Amostra 11028";88.16;74.34;12.47
"Amostra 11029";13.73;124.82;-6.59
"Amostra 11030";63.54;107.58;6.7
"Amostra 11031";54.51;142.13;4.27
"Amostra 11032";76.39;35.04;-0.41
"Amostra 11033";122.12;20;-1.09
"Amostra 11034";3.52;108.6;-2.14
"Amostra 11035";125.33;68.33;-6.45
"Amostra 11036";60.32;184.09;-1.6
"Amostra 11037";96.99;150.35;-2.94
"Amostra 11038";129.45;19.07;-0.54
"Amostra 11039";48.51;21.85;-4.48
"Amostra 11040";171.58;11.54;-25.55
"Amostra 11041";44.54;18.26;5.15
"Amostra 11042";67.88;142.15;17.59
"Amostra 11043";59.13;288.64;-5.38
"Amostra 11044";45.12;208.34;-7.64
"Amostra 11045";172.92;75.95;6.03
"Amostra 11046";104.58;73.76;0.89
"Amostra 11047";167.87;38.75;-11.55
"Amostra 11048";131.97;2.66;14.06
"Amostra 11049";40.64;14.88;-2.92
"Amostra 11050";68.35;68.61;1.31
"Amostra 11051";193.3;49.4;-13.83
"Amostra 11052";88.36;93.7;-16.52
"Amostra 11053";75.77;118.23;-12.88
"Amostra 11054";28.69;25.93;-1.27
"Amostra 11055";186.67;45.31;8.77
"Amostra 11056";151.15;104.95;-15.82
"Amostra 11057";222.04;118.14;16.96
"Amostra 11058";35.19;221.5;-1.94
"Amostra 11059";16.68;49.61;11.79
"Amostra 11060";38.11;129.3;4.51
"Amostra 11061";60.85;83.88;-3.44
"Amostra 11062";3.69;91.45;-3.48
"Amostra 11063";66.92;64.7;28.12
"Amostra 11064";28.66;163.07;10.83
"Amostra 11065";14.26;66.65;-15.42
"Amostra 11066";268.81;117.23;18.11
"Amostra 11067";88.05;28.68;7.19
"Amostra 11068";49.21;248.02;18.38
"Amostra 11069";94.93;120.1;8.14
"Amostra 11070";92.68;38.33;-3.69
"Amostra 11071";174.81;36.14;1.51
"Amostra 11072";0.26;32.14;-0.12
"Amostra 11073";135.28;154.15;-0.73
"Amostra 11074";137.03;35.51;-21.76
"Amostra 11075";57.88;113.8;1.97
"Amostra 11076";14.85;90.27;-1.09
"Amostra 11077";14.22;23.02;-0.94
"Amostra 11078";69.14;126.82;9.26
"Amostra 11079";42.59;2.9;5.57
"Amostra 11080";111.83;117.78;-2.48
"Amostra 11081";94.02;84.3;7.16
"Amostra 11082";142.78;78.48;12.94
"Amostra 11083";107.12;109.22;-0.89
"Amostra 11084";224.9;38.19;-0.71
"Amostra 11085";23.15;120.6;15.8
"Amostra 11086";13.82;88.19;-8.76
"Amostra 11087";46.37;180.41;-1.93
"Amostra 11088";41.36;14.86;17.86
"Amostra 11089";85.19;29.59;-23.45
"Amostra 11090";25.66;12.44;16.54
"Amostra 11091";16.92;16.88;-8.8
"Amostra 11092";226.12;70;11.3
"Amostra 11093";81.83;100.19;9.35
"Amostra 11094";93.5;24.3;-11.6
"Amostra 11095";35.97;111.84;-16.14
"Amostra 11096";8.27;104.63;-14.99
"Amostra 11097";89.48;117.83;-15.37
"Amostra 11098";54.07;65.42;-17.85
"Amostra 11099";195.52;42.34;2.86
"Amostra 11100";162.76;56.25;-2.61
"Amostra 11101";39.09;185.99;21.37
"Amostra 11102";147.59;51.37;3.84
"Amostra 11103";12.51;114.98;-0.42
"Amostra 11104";38.18;117.4;0.03
"Amostra 11105";84.47;33.31;8.12
"Amostra 11106";95.71;41.97;15.26
"Amostra 11107";44.66;3.05;-11.35
"Amostra 11108";54.44;8.18;-3.91
"Amostra 11109";161.75;187.43;9.69
"Amostra 11110";57.51;22.63;-15.29
"Amostra 11111";64.31;37.22;-12.4
"Amostra 11112";24.87;14.53;-20.42
"Amostra 11113";23.97;47.69;-1.15
"Amostra 11114";58.21;26.28;-1.05
"Amostra 11115";113.07;158.01;-15.24
"Amostra 11116";48.88;115.58;-22.96
"Amostra 11117";154.88;175.62;-1.8
"Amostra 11118";5.02;152.69;4.3
"Amostra 11119";91.22;32.97;-5.78
"Amostra 11120";63.84;12.66;-1.49
"Amostra 11121";82.71;55.19;-0.86
"Amostra 11122";60.39;37.56;-20.03
"Amostra 11123";56.98;195.28;14.53
"Amostra 11124";22.15;64.17;15.12
"Amostra 11125";75.92;19.99;-10.41
"Amostra 11126";230.33;85.13;-7.23
"Amostra 11127";86.63;4.04;2.41
"Amostra 11128";175.42;171.07;12.37
"Amostra 11129";147.27;41.84;-11.67
"Amostra 11130";50.64;93.82;14.17
"Amostra 11131";32.44;214.22;2.13
"Amostra 11132";13.08;90.9;7.13
"Amostra 11133";56.2;96.32;9.27
"Amostra 11134";51.87;31.82;-10.42
"Amostra 11135";27.89;33.74;-3.9
"Amostra 11136";22.84;177.39;-23.17
"Amostra 11137";78.44;172.62;11.43
"Amostra 11138";17.81;169.27;-0.75
"Amostra 11139";61.09;56.24;-8.08
"Amostra 11140";147.83;138.85;11.04
"Amostra 11141";35.13;114.33;-3.45
"Amostra 11142";34.31;104.57;14.38
"Amostra 11143";18.76;68.02;9.37
"Amostra 11144";14.85;63.41;4.26
"Amostra 11145";13.71;9.39;5.55
"Amostra 11146";118.97;18.25;3.7
"Amostra 11147";73.34;9.1;1.26
"Amostra 11148";24.15;50.02;18.03
"Amostra 11149";7.76;39.28;30.62
"Amostra 11150";17.17;61.81;1.17
"Amostra 11151";157.37;34.67;-1.78
"Amostra 11152";130.08;116.8;-0.13
"Amostra 11153";19.96;26.25;-6.09
"Amostra 11154";44.78;38.57;-13.31
"Amostra 11155";60.48;98.15;-5.15
"Amostra 11156";169.46;58.13;-14.4
"Amostra 11157";59.78;43.87;13.47
"Amostra 11158";82.75;76.91;0.02
"Amostra 11159";74.53;5.63;-8.99
"Amostra 11160";8.58;82.56;14.43
"Amostra 11161";92.06;175.88;15.53
"Amostra 11162";29.22;96.56;-11.19
"Amostra 11163";90.07;45.62;2.61
"Amostra 11164";97.95;83.14;12.63
"Amostra 11165";94.89;12.48;-11.96
"Amostra 11166";169.6;10.67;-2.45
"Amostra 11167";47.44;120.98;-5.17
"Amostra 11168";79.84;24.82;14.12
"Amostra 11169";19.06;82.98;5.2
"Amostra 11170";6.2;137.43;-7.38
"Amostra 11171";2.24;113.82;10.37
"Amostra 11172";117.66;52.33;-3.42
"Amostra 11173";141.29;62.29;15.26
"Amostra 11174";67.25;316.16;-13.88
"Amostra 11175";40.64;67.23;-9.92
"Amostra 11176";115.94;9.73;8.68
"Amostra 11177";53.31;34.82;13.09
"Amostra 11178";26.36;159.51;-23.05
"Amostra 11179";2.88;157.62;-3.68
"Amostra 11180";31.76;171.9;-15.42
"Amostra 11181";41.88;52.09;-1.97
"Amostra 11182";67.3;92.85;-5.92
"Amostra 11183";19.07;28.48;12.89
"Amostra 11184";18.51;37.39;10.51
"Amostra 11185";0.29;111.19;-16.42
"Amostra 11186";58.18;29.32;-1.96
"Amostra 11187";97.35;86.27;13.99
"Amostra 11188";41.6;67.44;-3.59
"Amostra 11189";263.27;69.15;1.16
"Amostra 11190";23.97;3.65;4.08
"Amostra 11191";109.92;107.66;-8.56
"Amostra 11192";121.05;75.27;-1.06
"Amostra 11193";69.29;62.2;-3.15
"Amostra 11194";197.42;246.32;-8.76
"Amostra 11195";75.51;216.15;-2.94
"Amostra 11196";15.9;109.31;-8.16
"Amostra 11197";63;30.4;13.46
"Amostra 11198";4.26;39.42;6.27
"Amostra 11199";206.43;71.96;8.11
"Amostra 11200";256.96;27.19;0.16
"Amostra 11201";27.6;5.58;-13.95
"Amostra 11202";25.98;100.58;-3.24
"Amostra 11203";275.62;30.44;3.39
"Amostra 11204";60.58;131.31;-19.45
"Amostra 11205";83.79;211.97;16.33
"Amostra 11206";94.56;30.92;12.23
"Amostra 11207";9.02;42.86;-2.87
"Amostra 11208";125.44;142.46;-10.72
"Amostra 11209";40.03;112.68;9.66
"Amostra 11210";54.27;75.89;7.58
"Amostra 11211";12.91;98.26;16.9
"Amostra 11212";42.62;53.09;11.67
"Amostra 11213";37.31;72.71;-6.03
"Amostra 11214";73.8;33;6.77
"Amostra 11215";19.35;20.08;6.23
"Amostra 11216";53.41;37.28;6.41
"Amostra 11217";96.64;123.41;-3.99
"Amostra 11218";40.04;136.22;12.82
"Amostra 11219";9.16;60.95;13.8
"Amostra 11220";45.75;26.18;29.96
"Amostra 11221";4.82;39.94;-10.1
"Amostra 11222";146.13;1.64;-2.79
"Amostra 11223";75.81;172.5;6.19
"Amostra 11224";72.13;10.12;-11.63
"Amostra 11225";46.31;120.51;6.27
"Amostra 11226";36.83;68.77;1.24
"Amostra 11227";252.57;12.18;-5.02
"Amostra 11228";9.08;22.85;-4.12
"Amostra 11229";132.21;33.75;0.75
"Amostra 11230";1.13;7.6;-4.1
"Amostra 11231";26.67;92.48;-19.4
"Amostra 11232";275.94;34.95;-10.29
"Amostra 11233";16.34;88.78;-3.94
"Amostra 11234";65.84;42.26;-7.91
"Amostra 11235";2.14;191.22;5.93
"Amostra 11236";107.71;42.54;-2.48
"Amostra 11237";50.85;48.52;4.69
"Amostra 11238";9.02;186.55;-1.33
"Amostra 11239";54.4;108.09;-5.23
"Amostra 11240";40.49;153.23;-6.5
"Amostra 11241";79.05;19.71;12.5
"Amostra 11242";128.9;73.53;-3.97
"Amostra 11243";8.92;58.14;10.34
"Amostra 11244";161.5;19.23;5.15
"Amostra 11245";79.98;53.07;-16.94
"Amostra 11246";67.13;244.54;2.19
"Amostra 11247";85.66;35.34;5.01
"Amostra 11248";7.65;53.95;10.9
"Amostra 11249";92.05;26.14;3.59
"Amostra 11250";2.91;75.96;-10.92
"Amostra 11251";24.1;89.1;1.74
"Amostra 11252";31.8;62.7;-0.98
"Amostra 11253";11.07;87.65;3.54
"Amostra 11254";102.46;47.37;-25.1
"Amostra 11255";13.74;191.52;0.82
"Amostra 11256";85.62;12.98;8.23
"Amostra 11257";44;204.54;-5.43
"Amostra 11258";92.33;45.33;-8.46
"Amostra 11259";74.6;89.35;25.29
"Amostra 11260";60.82;250.93;2.51
"Amostra 11261";77.83;131.14;-5.86
"Amostra 11262";228.55;73.47;-2.24
"Amostra 11263";10.06;27.99;7.06
"Amostra 11264";43.16;13.72;8.52
"Amostra 11265";99.26;82.83;-6.38
"Amostra 11266";34.22;34.73;-5.6
"Amostra 11267";43.2;148.83;-7.68
"Amostra 11268";4.53;63.4;8.76
"Amostra 11269";113.22;117.62;10.54
"Amostra 11270";112.55;24.64;-6.13
"Amostra 11271";50.68;40.24;14.63
"Amostra 11272";301.99;101.8;-6.83
"Amostra 11273";134.17;40.6;-3.18
"Amostra 11274";148.63;66.94;-6.77
"Amostra 11275";68.72;24.9;-5.83
"Amostra 11276";16.25;40.44;-22.9
"Amostra 11277";284.22;6.41;-4.4
"Amostra 11278";142.21;107.59;-1.38
"Amostra 11279";29.86;105.99;8.46
"Amostra 11280";161.37;140.63;1.9
"Amostra 11281";113.88;130.32;2.46
"Amostra 11282";35.67;225.94;19.46
"Amostra 11283";104.39;39.31;3.12
"Amostra 11284";13.76;83.92;4.09
"Amostra 11285";148.03;14.16;-26.92
"Amostra 11286";8.38;48.47;0.4
"Amostra 11287";83.25;145.18;0.07
"Amostra 11288";92.88;28.56;1.29
"Amostra 11289";57.39;58.86;-5.5
"Amostra 11290";80.7;165.8;-3.52
"Amostra 11291";4.99;46.06;16.07
"Amostra 11292";54.69;86.64;2.02
"Amostra 11293";64.36;167;5.72
"Amostra 11294";302.52;42.86;1.9
"Amostra 11295";67.85;136.32;3.54
"Amostra 11296";104.11;102.28;-4.71
"Amostra 11297";13.31;54.26;6.71
"Amostra 11298";25.12;59.99;1.19
"Amostra 11299";82.31;82.29;-10.74
"Amostra 11300";9.3;182.78;0.8
"Amostra 11301";198.91;8.06;7.56
"Amostra 11302";152.23;89.1;-0.14
"Amostra 11303";0.97;196.96;-6
"Amostra 11304";94.2;132.94;8.17
"Amostra 11305";33.77;163.66;4.06
"Amostra 11306";171.88;21.52;-2.62
"Amostra 11307";33.06;141.65;-3.4
"Amostra 11308";119.83;171.39;-1.12
"Amostra 11309";42.73;136.5;-8.67
"Amostra 11310";118.66;188.11;-3.89
"Amostra 11311";12.86;46.66;-3.6
"Amostra 11312";29.89;165.99;-7.89
"Amostra 11313";97.97;43.86;-12.09
"Amostra 11314";108.66;12.27;-2.45
"Amostra 11315";4.67;15.85;-1.32
"Amostra 11316";132.93;83.51;-13.54
"Amostra 11317";104.11;86.32;3.89
"Amostra 11318";79.59;57.6;-0.88
"Amostra 11319";12.55;244.71;3.37
"Amostra 11320";117.07;80.61;12.91
"Amostra 11321";68.69;71.61;-11.64
"Amostra 11322";254.71;7.83;9.41
"Amostra 11323";22.14;74.67;6.01
"Amostra 11324";12.94;5.16;-0.76
"Amostra 11325";170.41;47.97;11.72
"Amostra 11326";2.98;31.27;5.72
"Amostra 11327";102.67;100.14;-27.04
"Amostra 11328";62.63;172.28;-10.14
"Amostra 11329";106.28;17.6;15.49
"Amostra 11330";250.32;100.69;-10.62
"Amostra 11331";58.03;191.98;10.41
"Amostra 11332";64.43;61.58;-6.98
"Amostra 11333";5.36;105.21;2.84
"Amostra 11334";191.26;27.04;-5.64
"Amostra 11335";24.56;4.49;5.8
"Amostra 11336";99.42;4.2;-23.88
"Amostra 11337";67.43;7.11;-6.71
"Amostra 11338";65.38;69.35;3.51
"Amostra 11339";8.14;75.14;-14.88
"Amostra 11340";79.83;88.64;-0.03
"Amostra 11341";65.65;56.6;6.98
"Amostra 11342";54.63;14.07;-10.19
"Amostra 11343";185.39;49.31;2.33
"Amostra 11344";93.93;96.89;-16.52
"Amostra 11345";84.69;116.98;-6.04
"Amostra 11346";9.47;132.25;8.52
"Amostra 11347";33.67;143.32;4.73
"Amostra 11348";69.3;223.74;-12.98
"Amostra 11349";51.48;177.23;3.76
"Amostra 11350";16.02;77.97;13.23
"Amostra 11351";36.6;43.3;-1.1
"Amostra 11352";5.58;6.68;-8.8
"Amostra 11353";71.9;121.49;2.43
"Amostra 11354";5.09;67.92;7.33
"Amostra 11355";20.61;133.23;-11.21
"Amostra 11356";20.5;64.42;-10.29
"Amostra 11357";77.72;3.9;-10.61
"Amostra 11358";108.52;34.16;10.62
"Amostra 11359";42.65;8.9;6.87
"Amostra 11360";93.07;75.42;11.03
"Amostra 11361";19.25;73.33;0.61
"Amostra 11362";89;114.28;13.12
"Amostra 11363";7.17;110.13;6.31
"Amostra 11364";114.69;55.82;-0.86
"Amostra 11365";113.73;107.92;7.54
"Amostra 11366";81.01;85.93;-6.8
"Amostra 11367";31.73;89.2;3.51
"Amostra 11368";98.45;50.95;-24.18
"Amostra 11369";89.09;279.81;-5.64
"Amostra 11370";43.67;54.08;-2.62
"Amostra 11371";224.83;94.54;-27.28
"Amostra 11372";97.99;27.71;7.98
"Amostra 11373";139.83;125.98;-2.65
"Amostra 11374";184.32;2.44;-5.44
"Amostra 11375";34.28;37.51;13.13
"Amostra 11376";37.84;8.85;23.58
"Amostra 11377";32.08;191.27;-1.92
"Amostra 11378";98.79;34.11;1.96
"Amostra 11379";34.14;4.06;-5.13
"Amostra 11380";57.38;1.16;3.42
"Amostra 11381";6.17;171.57;-3.33
"Amostra 11382";55.45;64.06;15.7
"Amostra 11383";169.15;36.18;-8.27
"Amostra 11384";33.47;284.52;-0.98
"Amostra 11385";36.84;208.93;-13.76
"Amostra 11386";5.28;91.86;-6.77
"Amostra 11387";168.33;12.83;5.87
"Amostra 11388";91.26;113.94;11.78
"Amostra 11389";44.31;0.8;2.58
"Amostra 11390";80.51;78.81;5.98
"Amostra 11391";78.43;297.41;4.96
"Amostra 11392";35.13;122.2;7.18
"Amostra 11393";226.15;41.12;6.11
"Amostra 11394";59.62;52.67;0.47
"Amostra 11395";40.69;82.71;4.04
"Amostra 11396";70.6;13.99;1.08
"Amostra 11397";5.6;222.95;5.72
"Amostra 11398";100.6;92.52;-4.23
"Amostra 11399";38.74;21.48;-7.73
"Amostra 11400";9.34;35.6;-6.09
"Amostra 11401";111.51;23.01;-8.95
"Amostra 11402";119.08;131.03;-9.39
"Amostra 11403";168.8;93.33;3.11
"Amostra 11404";18.1;19.04;-15.41
"Amostra 11405";108.67;33.67;2.68
"Amostra 11406";120.96;67.81;-1.16
"Amostra 11407";92.56;110.99;18.74
"Amostra 11408";246.23;105.61;-11.31
"Amostra 11409";7.12;60.16;2.38
"Amostra 11410";0.15;147.06;15.57
"Amostra 11411";11.44;80.14;-1.04
"Amostra 11412";111.85;146.85;-10.75
"Amostra 11413";71.1;17.91;-20.82
"Amostra 11414";37.45;119.11;15.5
"Amostra 11415";137.43;71.57;8.62
"Amostra 11416";43.9;59.68;-24.96
"Amostra 11417";46.19;105.07;-6.77
"Amostra 11418";88.05;131.97;12.35
"Amostra 11419";105.95;20.4;1.21
"Amostra 11420";85.29;61.33;-15.76
"Amostra 11421";9.06;34.52;6.56
"Amostra 11422";44.15;85.56;-2.44
"Amostra 11423";87.47;43.44;5.33
"Amostra 11424";27.48;246.58;8.28
"Amostra 11425";42.42;163.28;-6.47
"Amostra 11426";120.48;140.27;-0.53
"Amostra 11427";8.14;8.45;-1.05
"Amostra 11428";38.88;114.62;-9.84
"Amostra 11429";32.25;7.65;13.01
"Amostra 11430";253.64;18.44;-4.19
"Amostra 11431";74.5;137.82;7.63
"Amostra 11432";69.37;74.11;1.8
"Amostra 11433";4.66;157.7;-8.14
"Amostra 11434";6.42;130.34;-1.05
"Amostra 11435";190.74;125.82;7.97
"Amostra 11436";65.62;136.55;13.28
"Amostra 11437";20.85;144.37;-1.24
"Amostra 11438";40.41;98.44;9.6
"Amostra 11439";142.78;119.36;0.46
"Amostra 11440";14.48;93;-14.26
"Amostra 11441";90.39;53.31;-21.17
"Amostra 11442";57.44;124.85;-13.8
"Amostra 11443";129.74;142.78;-18.96
"Amostra 11444";165.53;113.11;-11.89
"Amostra 11445";12.08;185.87;12.02
"Amostra 11446";228.14;84.75;-6.1
"Amostra 11447";122.62;19.97;7.48
"Amostra 11448";16.27;119.39;-6.25
"Amostra 11449";87.46;89.39;-9.5
"Amostra 11450";249.31;35.2;13.95
"Amostra 11451";80.33;27.09;3.91
"Amostra 11452";58.74;109.31;-13.88
"Amostra 11453";14.37;105.42;-7.16
"Amostra 11454";138.15;36.94;-12.29
"Amostra 11455";54.45;74.85;14.82
"Amostra 11456";51.14;7.62;-3.49
"Amostra 11457";65.47;110.69;2.87
"Amostra 11458";135.34;71.05;-3.76
"Amostra 11459";45.75;105.93;-2.58
"Amostra 11460";121.33;66.98;7.45
"Amostra 11461";52.29;42.03;15.95
"Amostra 11462";75.52;117.85;-7.87
